"ts_code","trade_date","open","high","low","close","pre_close","change","pct_chg","vol","amount"
"600519.SH","20090407","116.57","118.18","116.4","118","116.57","1.43","1.23","21419.19","251182.411"
"600519.SH","20090403","119.1","120.55","116.4","116.57","118","-1.43","-1.21","41441","492530.479"
"600519.SH","20090402","116.56","119.4","116.56","118","116.26","1.74","1.5","37430.51","441249.387"
"600519.SH","20090401","114.98","116.65","114.9","116.26","114.74","1.52","1.32","40387.57","468753.741"
"600519.SH","20090331","113.33","114.9","113","114.74","114.06","0.68","0.6","26428.62","301354.057"
"600519.SH","20090330","114","115","112.1","114.06","113.98","0.08","0.07","24269.44","276929.285"
"600519.SH","20090327","113.46","115","112.8","113.98","112.5","1.48","1.32","42075.72","479104.606"
"600519.SH","20090326","114.02","114.1","110.78","112.5","114.02","-1.52","-1.33","59292.48","664500.701"
"600519.SH","20090325","116","116","112.65","114.02","118.69","-4.67","-3.93","86217.16","984739.037"
"600519.SH","20090324","120.5","123.59","118.36","118.69","118.69","0","0","35294.64","424130.707"
"600519.SH","20090323","117.99","119.18","117.41","118.69","117.88","0.81","0.69","32463.11","384766.613"
"600519.SH","20090320","119.8","119.97","117.2","117.88","118.78","-0.9","-0.76","15396.12","182170.364"
"600519.SH","20090319","116.5","119.28","116.1","118.78","116.08","2.7","2.33","18891.93","223567.5"
"600519.SH","20090318","117.92","118.9","115.96","116.08","117.34","-1.26","-1.07","17767.03","208086.081"
"600519.SH","20090317","114.45","118.99","114","117.34","114.38","2.96","2.59","18344.73","213668.06"
"600519.SH","20090316","113.85","114.89","112","114.38","113.82","0.56","0.49","13395.42","151397.338"
"600519.SH","20090313","116.8","117.5","113.78","113.82","115.94","-2.12","-1.83","20038.2","230105.105"
"600519.SH","20090312","116.08","117.79","114.13","115.94","117.48","-1.54","-1.31","11296.27","130769.829"
"600519.SH","20090311","120","120.88","116","117.48","118.13","-0.65","-0.55","8814.94","104417.185"
"600519.SH","20090310","113.9","119.2","113.6","118.13","114.9","3.23","2.81","15782.92","185611.677"
"600519.SH","20090309","118.24","119.5","114.88","114.9","118.22","-3.32","-2.81","23152.03","268799.957"
"600519.SH","20090306","120","120.8","117.68","118.22","122","-3.78","-3.1","20664.13","245701.371"
"600519.SH","20090305","124.9","126.5","120.01","122","124.82","-2.82","-2.26","23532.3","289227.189"
"600519.SH","20090304","115.5","126.3","114.92","124.82","114.92","9.9","8.61","42245.25","510627.173"
"600519.SH","20090303","115.2","116.8","113.8","114.92","117.03","-2.11","-1.8","18780.13","215625.552"
"600519.SH","20090302","117","118.43","114.87","117.03","118.43","-1.4","-1.18","27172.85","318786.734"
"600519.SH","20090227","119.54","123","117.73","118.43","122.43","-4","-3.27","41170.59","494464.222"
"600519.SH","20090226","126.5","129.9","121.5","122.43","127.5","-5.07","-3.98","27112.09","343984.112"
"600519.SH","20090225","129.99","130","123","127.5","128.79","-1.29","-1","26917.96","341607.459"
"600519.SH","20090224","127.5","132","126.65","128.79","127.78","1.01","0.79","36936.33","480302.641"
